Id,Date,Text
1613995936585519104,2023-01-13 20:26:32+00:00,"Twitter will publish tweet recommendation code &amp; make account/tweet status visible no later than next month.

Transparency builds trust."
1613932601882054658,2023-01-13 16:14:52+00:00,virtue rises with the sun
1613900363652009992,2023-01-13 14:06:46+00:00,"Bookmark button moving to tweet details page, fixing image length crop &amp; other minor bug fixes next week"
1613896110979878914,2023-01-13 13:49:52+00:00,RT @Tesla: Tesla owners collectively saved $2B+ in 2022 ⚡️
1613896102478053378,2023-01-13 13:49:50+00:00,RT @Tesla: View your charging history &amp; savings for the full year in the Tesla app https://t.co/6pZhR9HQsz
1613712054640316416,2023-01-13 01:38:29+00:00,"RT @teslaownersSV: BREAKING: Tesla Is US Brand with Lowest Maintenance Cost for its Cars with 10 years of Use, Model S Is #1 ⁦@elonmusk⁩  h…"
1613670853379788800,2023-01-12 22:54:46+00:00,RT @mtaibbi: The latest #TwitterFiles expose as a total lie a major Russiagate story — that the #ReleaseTheMemo hashtag was fueled by Russi…
1613572197699977227,2023-01-12 16:22:45+00:00,"RT @SpaceX: Team are stepping into a series of tests prior to Starship's first flight test in the weeks ahead, including full stack wet dre…"
1613572188921290755,2023-01-12 16:22:43+00:00,RT @SpaceX: More pics of Starship fully stacked on the orbital launch pad at Starbase → https://t.co/095WHWN1zX https://t.co/pYzC9nQYSc
1613537584231362561,2023-01-12 14:05:12+00:00,Starship launch attempt soon https://t.co/QBprVsAH7m
1613280460020527104,2023-01-11 21:03:29+00:00,RT @SpaceX: View from the recovery vessel as Dragon returned to Earth https://t.co/FbJM8AGICi
1613249758256328705,2023-01-11 19:01:29+00:00,Some things that your party tells you are false and some things that the other party says are true
1613146410932752384,2023-01-11 12:10:49+00:00,RT @Tesla: Model S &amp; Model Y received the highest overall safety scores among every vehicle tested by EuroNCAP in 2022 https://t.co/3RgxHFX…
1612834377523957761,2023-01-10 15:30:55+00:00,RT @SpaceX: SpaceX had four rockets on four pads and two Dragons on orbit today—as CRS-26 Dragon departed the @space_station with Crew-5 Dr…
1612699840571637760,2023-01-10 06:36:19+00:00,All four orbital launch pads fully loaded with rockets for the first time! https://t.co/EXlB0p5vWN
1612670225803268097,2023-01-10 04:38:38+00:00,RT @SpaceX: Watch Falcon 9 launch the @OneWeb Launch 16 mission to orbit → https://t.co/bJFjLCiTbK https://t.co/YJtUk3RrUW
1612664243505225728,2023-01-10 04:14:52+00:00,"RT @boringcompany: Was our privilege to provide transportation for @LVCVA at an amazing @CES convention.  
Fun Loop stats: average ride tim…"
1612616411469299714,2023-01-10 01:04:48+00:00,RT @SpaceX: Ship 24 stacked on Super Heavy Booster 7 at Starbase in Texas https://t.co/hLcghfq349
1612567182222974976,2023-01-09 21:49:10+00:00,"RT @SpaceX: All cargo is loaded, the hatch is closed, and Dragon is ready for an on-time departure from the @space_station at 5:05 p.m. ET.…"
1612489678770561024,2023-01-09 16:41:12+00:00,RT @Tesla: Watch live TV &amp; stream your favorite shows in your Tesla when parked
1612230045493248001,2023-01-08 23:29:31+00:00,I hope that the people of Brazil are able to resolve matters peacefully
1612213483625668608,2023-01-08 22:23:42+00:00,(Chart by James Stephenson) https://t.co/rOHfjXGVmU
1611932793130438656,2023-01-08 03:48:20+00:00,"Easy swipe right/left to move between recommended vs followed tweets rolls out later this week.

First part of a much larger UI overhaul.

Bookmark button (de facto silent like) on Tweet details rolls out a week later.

Long form tweets early Feb."
1611857881808375808,2023-01-07 22:50:40+00:00,Plaid is sickkk https://t.co/OxBD8Zv7Xq
1611857679349317634,2023-01-07 22:49:52+00:00,"RT @Tesla: Safety is the primary design objective for our vehicles. 

Your Tesla monitors your surroundings, alerting you or taking correct…"
