Rank,Name,Twitter,URL,Twitter Points,Alexa Points,Social Authority Points,Net Influence Points
200,Frank Feather,BizTrends,futurist-keynote.blogspot.com,0.1,0,2.4,1.3
201,Matt Edwards,meds888,www.horizonscanning.org.uk,0.4,0,2.3,1.3
202,Marsha Rhea,mlrhea,www.signaturei.net,0.3,0,2.3,1.3
203,Janine Cahill,j9j,futurejourneys.com,0.4,0,2.2,1.3
204,Dr. Andreas M. Walker,weiterdenker,www.weiterdenken.ch,0.2,0,2.1,1.2
205,Dominique Jaurola,dojau,dominiquejaurola.com,0.8,0,2,1.1
206,Tamar Kasriel,TamarKasriel,www.futureal.net,0.4,0,2,1.1
207,Claudia (Lala) Deheinzelin,laladeheinzelin,laladeheinzelin.com,0.5,0,2,1.1
208,Melanie Swan,LaBlogga,melanieswan.com,0.8,0,1.8,1
209,Edie Weiner,WEBfuturetrends,www.thefuturehunters.com/speaking-engagements/edie-weiner,0.4,0,1.7,1
210,Freija van Duijne,FreijavanDuijne,www.futuremotions.nl,0.4,0,1.4,0.8
211,Francesco Pollice,francescoeam,www.francescopollice.it,0.5,0,1.3,0.8
212,Hardin Tibbs,htibbs,hardintibbs.com,0.2,0,1.2,0.7
213,Özlem (Yan) Devrim,trendssoul,www.ozlemdevrim.com,0,0,1.2,0.6
214,Peter Bishop,realfuturist,houstonfutures.org,0.4,0,0.8,0.5
215,Jeremy Rifkin,JeremyRifkin,foet.org,0.1,0.7,0.1,0.3
216,Janelle Marr,Janelle_Marr,www.stepbeyond.com.au,0.2,0,0.5,0.3
217,Natalie Dian,Fstyles,www.framtidsbygget.se,0.3,0,0.4,0.3
218,Joyce Gioia,JoyceGioia,www.hermangroup.com/joyce_bio.html,0.5,0,0.4,0.2
219,Louise Fredbo-Nielsen,Louise,www.louisefredbonielsen.com,0.3,0,0.2,0.1
220,Laura Clèries,lcleries,lauracleries.com,0.2,0,0.2,0.1
221,Victor del Rosal,vicdelr,emtechub.com,0,0,0.1,0.1
222,Tiffani Bova,Tiffani_Bova,tiffanibova.com,0,0,0,0
