,user,topics,cnt
372,ajassy,83,1
373,ajassy,85,2
374,ajassy,87,1
375,ajassy,88,1
376,ajassy,92,1
377,ajassy,93,4
378,ajassy,97,2
379,ajassy,99,2
380,ajitjaokar,1,2
381,ajitjaokar,4,7
382,ajitjaokar,6,7
383,ajitjaokar,8,3
384,ajitjaokar,10,1
385,ajitjaokar,12,1
386,ajitjaokar,13,1
387,ajitjaokar,17,1
388,ajitjaokar,20,1
389,ajitjaokar,21,1
390,ajitjaokar,25,37
391,ajitjaokar,27,6
392,ajitjaokar,28,3
393,ajitjaokar,32,2
394,ajitjaokar,37,1
395,ajitjaokar,38,2
396,ajitjaokar,40,2
397,ajitjaokar,41,2
398,ajitjaokar,44,1
399,ajitjaokar,45,1
400,ajitjaokar,49,3
401,ajitjaokar,53,2
402,ajitjaokar,56,1
403,ajitjaokar,59,1
404,ajitjaokar,60,3
405,ajitjaokar,61,1
406,ajitjaokar,67,17
407,ajitjaokar,72,1
408,ajitjaokar,75,1
409,ajitjaokar,77,1
410,ajitjaokar,82,5
411,ajitjaokar,83,2
412,ajitjaokar,85,1
413,ajitjaokar,86,1
414,ajitjaokar,94,1
415,ajitjaokar,98,3
416,alhopper,13,1
417,alhopper,69,1
418,alhopper,83,1
419,alhopper,86,7
420,allisondman,0,2
421,allisondman,1,10
422,allisondman,3,15
423,allisondman,4,6
424,allisondman,5,4
425,allisondman,6,1
426,allisondman,7,2
427,allisondman,8,3
428,allisondman,9,9
429,allisondman,10,1
430,allisondman,12,4
431,allisondman,14,1
432,allisondman,16,3
433,allisondman,17,7
434,allisondman,21,2
435,allisondman,22,2
436,allisondman,23,1
437,allisondman,25,9
438,allisondman,26,8
439,allisondman,27,10
440,allisondman,28,3
441,allisondman,29,1
442,allisondman,31,4
443,allisondman,32,3
444,allisondman,33,2
445,allisondman,36,2
446,allisondman,37,8
447,allisondman,40,2
448,allisondman,41,2
449,allisondman,42,4
450,allisondman,43,23
451,allisondman,44,2
452,allisondman,45,12
453,allisondman,48,4
454,allisondman,49,10
455,allisondman,53,1
456,allisondman,54,1
457,allisondman,55,10
458,allisondman,56,2
459,allisondman,57,6
460,allisondman,59,3
461,allisondman,60,2
462,allisondman,62,1
463,allisondman,63,2
464,allisondman,64,4
465,allisondman,66,78
466,allisondman,68,2
467,allisondman,69,3
468,allisondman,71,1
469,allisondman,72,5
470,allisondman,73,10
471,allisondman,75,22
472,allisondman,77,33
473,allisondman,78,1
474,allisondman,79,18
475,allisondman,81,17
476,allisondman,82,4
477,allisondman,83,2
478,allisondman,84,36
479,allisondman,85,36
480,allisondman,86,2
481,allisondman,87,3
482,allisondman,89,4
483,allisondman,91,3
484,allisondman,92,1
485,allisondman,93,3
486,allisondman,94,5
487,allisondman,95,1
488,allisondman,96,2
489,allisondman,97,6
490,allisondman,98,1
491,allisondman,99,3
