Topic,sadness,disgust,pessimism,anger,anticipation,joy,fear,optimism,surprise,trust,love
21,0.028212267402845104,0.0378760760742457,0.02819996926952566,0.03359446367621739,0.5982422604493708,0.552018603696004,0.043796337937564926,0.6186446259547107,0.07898677311491799,0.17670783430938428,0.03650503110860869
22,0.15079141293583517,0.28954972742326807,0.08830987279932388,0.2561130388597526,0.4923548763443045,0.29591271383284473,0.12071384149327645,0.310220038084609,0.11310179416078595,0.08451812111956167,0.022089904230469977
23,0.05103844727271766,0.049759748582188526,0.022701938014154963,0.042879508261161846,0.2718964353983644,0.7650533271087948,0.02366911727016552,0.5692578159599359,0.06606532120554565,0.11750451745907488,0.22318397150594393
24,0.04480427153330669,0.1159684342016642,0.04767682116282084,0.12735381923341477,0.6382596865490496,0.4196600475696687,0.08364014538249766,0.6299365877201677,0.08097352646982019,0.20066863645068533,0.023777940426715608
25,0.1244880669912693,0.1376475187479609,0.049043452161502805,0.11016054519202044,0.3403488662259273,0.45237190451440407,0.06701444826159095,0.28291071334518497,0.10537491299644004,0.06562652912548422,0.07950761023097815
26,0.07303303781701677,0.08456432477067731,0.045716165568299105,0.07667931539953156,0.4967890816755763,0.6012910821413113,0.04723204775576362,0.6316012017715453,0.08134990728233726,0.16852088232910387,0.09249197710334095
27,0.04840174130202066,0.09259572849241349,0.04091927336598645,0.080580570844245,0.6412544282551192,0.46372443415328696,0.06188994887906931,0.44376874607687933,0.12364162001013565,0.1434847752290278,0.03126705403177669
28,0.159758693275974,0.16778126722280445,0.06195694713841638,0.14021526732557665,0.28850494340360755,0.4872035255361319,0.056008813491220506,0.34327960406382824,0.08448529880773356,0.07154718202208679,0.1256171894958355
29,0.041946628664827575,0.061694502839188196,0.024359230119964957,0.054615368831089174,0.5246130306365682,0.6848335663238505,0.026783710557562224,0.5310029201857387,0.10549576783881048,0.13631813388007383,0.06209778725692948
30,0.03410522677858448,0.07700358553621514,0.027737218068792424,0.06569479415921832,0.6343395997656986,0.5859623944881553,0.062214827358037975,0.4321310166737234,0.15850045391908332,0.1378679068925628,0.0390966424988813
31,0.0362227753323382,0.07159902238500311,0.033954283818176,0.0829353490922927,0.5495329003343146,0.5647789201645522,0.04448444730657302,0.6964282470251583,0.07072001093778162,0.20832766850653126,0.06207907486274192
32,0.0602252239207329,0.08616459388207022,0.033316905193899696,0.0725563772666827,0.5677914293526581,0.6245794978366674,0.03795064060786033,0.46982499298670455,0.12245522840849961,0.13145406251047842,0.05771962637604785
33,0.04843917869877901,0.05311989827740549,0.046388086538398064,0.04256923734060546,0.6005683879193734,0.44897010689913774,0.07097452160784445,0.6116380979993675,0.07179740521466421,0.17510503282180118,0.027077582066922373
34,0.08065893567127522,0.07299480137427658,0.04139358315514601,0.08329696467557521,0.2230660378839564,0.689927366136906,0.04706134720625647,0.8155431307099169,0.03450910260825279,0.2015190194590736,0.10311589454736148
35,0.01853498606649654,0.038242938903412495,0.016824486642948003,0.036582941448352085,0.6498477047355445,0.7092121713748752,0.021876532060418397,0.5231347479427776,0.11105366945254654,0.1603603105058644,0.04785531775759756
36,0.11145761488038722,0.17105812861658,0.07917460443583979,0.1472827623841484,0.5045694579503128,0.3120944613883016,0.05685743071552227,0.46728937337336873,0.07379045363946414,0.1235778332608229,0.02500332458760903
37,0.04644784901548476,0.08523480028859969,0.04034778870643348,0.07387054636989852,0.6234394937318569,0.45065613873653687,0.047449266723845994,0.5234029327487522,0.08915922576183047,0.15904357556224216,0.02875029582202831
38,0.1544232036632128,0.3480632870320429,0.08924254521422828,0.31975309673196134,0.40643481507092405,0.18436744068621558,0.19986692474063847,0.257151101441784,0.07994963346559758,0.06780136657266707,0.01294490713849484
39,0.04468054291259228,0.03453418977741205,0.016016013619284935,0.02832984320642396,0.15269256075507545,0.8091347236801112,0.012423716177681903,0.5478893910555082,0.04609919781786433,0.08610982202301526,0.3435064899793424
40,0.047574803564731205,0.12596267462270624,0.04928395882260693,0.11726056326487103,0.6356815671245328,0.3410097403593479,0.11825087929856866,0.4412546988651073,0.10658089905746573,0.14383113666151787,0.02106895097542757
41,0.15957639987729905,0.5017581019768611,0.090906862548761,0.4924353263361495,0.3574558332660631,0.12052261891767488,0.18072212667882775,0.1613087857629163,0.09627073313511454,0.04738905851624131,0.010298950823397305
42,0.04448827449315911,0.029607579847817807,0.017714426414512915,0.026549548476616693,0.1444028331513723,0.9153567848866087,0.0203397259945329,0.712693670885034,0.0557466089527931,0.12691062057389305,0.5156515863508458
43,0.022589856265570352,0.03212327212159254,0.020636795224919593,0.03017256224966441,0.5731819924540433,0.739917570236367,0.0462168970057886,0.6560389812503968,0.1090835922369446,0.18538476568893936,0.07788768818782812
44,0.07323539773803099,0.09798873452586145,0.04516342518298414,0.08351025997026362,0.5512699028220958,0.5285235313550577,0.0492727955466949,0.49921186652173954,0.09516428469779593,0.13412495382215073,0.0462118205523896
45,0.058292937368014074,0.0438928037600949,0.022222673430516253,0.03673543091815228,0.17882789308241528,0.7627766995532255,0.02307367890823476,0.5591910500223264,0.06005456565965983,0.10717503987473105,0.32365930119804137
46,0.0258860510262558,0.05209655120518116,0.024020776627677844,0.04525085598590235,0.5752310678200989,0.5766396243271775,0.08383370280261072,0.4957592681180733,0.09861999411223728,0.1389998416352207,0.05793443921865086
47,0.0501679137962231,0.0953040212296195,0.032435117621573584,0.0780978183090062,0.5972159514426537,0.5192641800609361,0.06939125437095149,0.3721879847383059,0.12174590951089753,0.11691354590386424,0.032076171406945596
48,0.03505146515060768,0.066832819835449,0.026060623777843076,0.06285759579789843,0.5093772979322165,0.6382012335918773,0.03669267816813639,0.5480989934016024,0.09592013339799871,0.14867981364415261,0.10503828412754901
49,0.19034393444824038,0.14873265007093733,0.07991887476561496,0.1278556096875906,0.3219813052205152,0.5520280560671761,0.06760110010907372,0.49814127559145066,0.07434862683117226,0.1066209611979075,0.13346510583497903
50,0.08034384500105839,0.09011555657536657,0.027430813320033023,0.06272425970563224,0.3142241676378958,0.3919241868816263,0.016370718427560958,0.12539404031804452,0.06168927923885884,0.028768701499912674,0.022069137011124774
51,0.056306757440112515,0.05169959297101643,0.051021994491773505,0.05452168801172294,0.46105881647583574,0.5005855241722251,0.04334672198166421,0.8282897191721421,0.03709648379909852,0.2545519444207593,0.042030620222302285
52,0.13331293754171838,0.1481771192407405,0.07535704748462538,0.11619613001645632,0.5042305283922012,0.4583716499321744,0.1002683623905177,0.42393222927747964,0.10382007265932855,0.10370988320032093,0.03282374906107084
53,0.02136201266725023,0.039419870875404016,0.022378495513208595,0.03615415351438851,0.6590768337837781,0.6139686571345473,0.032587276875519065,0.5141884248900768,0.11808942212507725,0.1650831407840522,0.039160954813554055
54,0.032844476507170865,0.05899542424278947,0.036313095224530766,0.05308921129597485,0.6637946714126858,0.519170421474149,0.07468539133472339,0.5832979588244741,0.10623392631092508,0.18911656841139388,0.03491196536504281
55,0.13032085790452494,0.14726167287612452,0.06873820691721971,0.11952799817456035,0.4456292035682947,0.403209049674813,0.08250534276451263,0.395522413327006,0.09303148133284689,0.09523706606128171,0.0439216168172629
